playlist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence,explicit,mode,followers,num_tracks,track_feat,track_remast,track_remix,album_feat,album_deluxe,album_best,time_sign_0.0,time_sign_3.0,time_sign_4.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0
2017 VMAs,0.14651743918918916,0.6665945945945946,229003.33783783784,0.685554054054054,0.003741498513513514,0.18182972972972974,-5.774202702702703,74.64864864864865,0.11142027027027028,123.85005405405404,0.47061216216216206,0,1.0,112592,74,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
30 Before 20: Masterworks by Teenagers,0.9640666666666664,0.29391000000000006,425371.6666666667,0.07793033333333338,0.6845306666666668,0.12799000000000002,-23.476999999999997,17.6,0.04416666666666667,100.70499999999998,0.12499,0,1.0,6879,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
35 Soul Classics 1970-1975,0.4013285714285714,0.6340857142857145,247337.0,0.5588285714285713,0.036417815714285706,0.15449714285714286,-10.143428571428569,34.74285714285714,0.07350571428571429,113.21191428571429,0.7010085714285714,0,0.0,187837,35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
38 Great Female Duets,0.3262986842105263,0.6238684210526316,236051.13157894736,0.6059,0.013888170263157888,0.22707105263157895,-7.152947368421051,26.5,0.06938684210526315,122.84321052631577,0.4996657894736842,0,1.0,8666,38,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4th of July Party,0.1907120967741936,0.696225806451613,209994.64516129033,0.6634838709677421,0.026924167580645166,0.13900645161290318,-5.973112903225805,71.0,0.08279193548387098,113.18324193548385,0.6231774193548386,0,1.0,68475,62,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
50 Great Female Voices,0.3844723999999999,0.5732200000000001,251433.84,0.49958200000000014,0.006830854599999999,0.149084,-8.455020000000001,46.32,0.051406,121.81109999999998,0.4630939999999999,0,1.0,509102,50,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50 Shades of Love,0.479832,0.5567599999999999,250650.44,0.44760000000000005,0.0174328392,0.16295600000000005,-9.410720000000003,51.1,0.05448799999999999,119.55748000000001,0.37402599999999997,0,1.0,244195,50,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
50 Songs Unplugged,0.4420180000000001,0.49390000000000006,272203.58,0.5507799999999999,0.0052949574,0.6534600000000002,-8.42034,39.58,0.058467999999999985,122.72723999999998,0.38329599999999997,0,1.0,222042,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
50 Songs for Snow,0.3851816600000001,0.46738000000000013,245785.4,0.5191139999999997,0.1138048304,0.17726400000000006,-9.928639999999998,27.72,0.038773999999999996,125.69334000000002,0.430182,0,1.0,94,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
50s Pop Drive Time,0.8022857142857144,0.526952380952381,148505.33333333334,0.42252380952380947,0.008527028571428572,0.23019523809523806,-10.854142857142858,29.0,0.07014761904761904,119.31976190476192,0.6046190476190476,0,1.0,227,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
